PSTL,STD
3.3996,3.8232
2.4072,2.0373
2.361,1.9459
2.6318,3.3811
2.1182,1.6231
2.5664,2.6358
2.2512,1.8898
2.3456,2.4683
2.8331,2.2395
2.58,2.1341
5.6563,1.6027
5.555,1.7263
4.8102,2.6363
2.4492,2.0276
3.8527,2.3205
3.8184,2.5207
2.3832,2.2633
2.3807,2.6388
2.4185,2.1602
5.6557,1.9821
6.219,2.367
3.0721,2.4069
2.7514,2.5298
3.3834,2.2176
2.8218,2.0748
2.8667,2.6456
2.461,2.357
3.538,2.3922
2.2597,2.778
3.4477,2.5169
3.0934,2.4794
2.6141,2.4831
3.2252,2.5791
2.6565,2.2832
2.9332,2.1575
3.3915,2.8334
2.6909,2.1071
3.7588,2.777
3.0243,3.2647
3.6969,3.3745
3.3197,3.0784
3.5086,3.3273
3.7964,2.4017
2.841,2.5047
3.08,2.3814
2.7612,2.5524
2.8057,2.3955
2.7694,2.4462
2.997,2.4399
3.1358,2.9694
5.8612,5.6433
4.2601,2.2844
2.8813,2.4088
3.3034,2.9897
3.1494,2.5298
3.0299,3.8605
10.1382,2.5617
3.7962,2.832
7.0832,2.1591
3.3042,2.6902
6.992,1.9059
2.4084,2.2838
2.7452,2.5248
2.2114,3.7268
2.58,2.7182
2.764,2.9156
4.4291,3.214
3.3962,4.2807
3.3766,2.9098
3.5378,3.0835
3.2989,2.977
3.3719,3.8182
3.6468,3.4609
2.6828,2.66
3.613,3.4192
3.7385,3.0217
4.0097,2.8245
3.4523,3.5643
6.1408,2.7923
3.3211,4.0074
4.3583,3.1297
5.5223,3.6432
3.5122,4.1671
7.7455,5.709
9.3513,3.5483
4.5044,7.7061
3.9287,3.2459
5.0409,2.9287
4.6882,7.0535
8.1766,4.3801
6.9884,3.504
4.0935,4.447
4.1329,3.9032
3.3255,3.9099
5.9982,3.2855
3.6623,3.451
2.8903,5.8347
3.3447,3.1471
3.3313,5.0189
13.2706,2.8387
3.1801,5.7965
3.4877,4.0779
5.2361,3.9404
3.7649,3.3621
3.7039,3.3417
4.501,3.4427
4.1823,3.7644
4.0767,2.9562
4.0257,2.979
11.4614,2.9114
3.4662,2.999
4.8409,3.6134
3.0821,2.5707
2.9335,2.9698
3.7611,3.1016
2.8589,2.3086
